"","GEOID","rurality"
"1","08013013602","Rural"
"2","08013013701","Rural"
"3","08013013702","Rural"
"4","08013060600","Urban"
"5","08013060700","Urban"
"6","08013060800","Urban"
"7","08013060900","Urban"
"8","08013061300","Urban"
"9","08013061400","Urban"
"10","08014030000","Urban"
"11","08014030100","Urban"
"12","08014030300","Urban"
"13","08014030800","Urban"
"14","08014030200","Urban"
"15","08014030400","Urban"
"16","08014030500","Urban"
"17","08014030600","Urban"
"18","08014030700","Urban"
"19","08014030900","Urban"
"20","08014031000","Urban"
"21","08014031100","Urban"
"22","08014031200","Urban"
"23","08014031300","Urban"
"24","08014031400","Urban"
"25","08014980100",NA
"26","08014980200",NA
"27","08014980300",NA
"28","08015000401","Rural"
"29","08015000100","Urban"
"30","08015000200","Urban"
"31","08015000300","Rural"
"32","08015000402","Urban"
"33","08017960600","Rural"
"34","08019014700","Rural"
"35","08019014800","Rural"
"36","08019014900","Rural"
"37","08025969600","Rural"
"38","08027970100","Rural"
"39","08069001709","Urban"
"40","08069001804","Urban"
"41","08069001806","Urban"
"42","08069001807","Urban"
"43","08069001808","Urban"
"44","08069002007","Urban"
"45","08021974800","Rural"
"46","08029964700","Rural"
"47","08069001809","Urban"
"48","08083969400","Urban"
"49","08083969600","Rural"
"50","08085966100","Rural"
"51","08085966201","Rural"
"52","08085966202","Rural"
"53","08085966300","Urban"
"54","08085966503","Urban"
"55","08085966400","Urban"
"56","08085966501","Rural"
"57","08085966502","Urban"
"58","08085966601","Urban"
"59","08085966602","Rural"
"60","08087000100","Rural"
"61","08087000200","Rural"
"62","08087000300","Urban"
"63","08087000400","Urban"
"64","08087000500","Urban"
"65","08087000600","Urban"
"66","08087000700","Urban"
"67","08087000800","Rural"
"68","08089968400","Rural"
"69","08069001704","Urban"
"70","08089968000","Rural"
"71","08089968100","Urban"
"72","08089968200","Urban"
"73","08089968300","Urban"
"74","08089968500","Rural"
"75","08089968600","Urban"
"76","08093000300","Rural"
"77","08091967600","Rural"
"78","08093000100","Rural"
"79","08093000200","Rural"
"80","08005087300","Urban"
