EXTERNAL_PERMIT_NMBR,Facility,DesignFlow,Flow_cfs,matched_COMID,geometry,mon_code,mean_dmr_cfs,sd_dmr_cfs,n_obs,low_dmr_cfs,high_dmr_cfs,ratio_dmr_to_design
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",01,0.017661583333333335,0.0012392104105706451,6,0.01642237292276269,0.01890079374390398,0.45666666666666667
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",02,0.01547,0.0031324362563346754,6,0.012337563743665323,0.018602436256334676,0.39999999999999997
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",03,0.023076083333333334,0.01424934525659571,6,0.008826738076737624,0.037325428589929044,0.5966666666666667
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",04,0.01663025,0.003160956749941384,6,0.013469293250058615,0.019791206749941382,0.43
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",05,0.016501333333333333,0.004759801662534549,6,0.011741531670798784,0.021261134995867882,0.42666666666666664
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",06,0.021142333333333332,0.00431129407100312,6,0.016831039262330212,0.025453627404336453,0.5466666666666666
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",07,0.021786916666666666,0.004332060392199843,6,0.017454856274466822,0.02611897705886651,0.5633333333333334
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",08,0.021013416666666666,0.003541807990513697,6,0.01747160867615297,0.024555224657180363,0.5433333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",09,0.019783551666666666,0.004040844744854308,6,0.015742706921812358,0.023824396411520975,0.5115333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",10,0.01998208333333333,0.0024173164132290726,6,0.01756476692010426,0.022399399746562403,0.5166666666666666
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",11,0.019466416666666667,0.0037390278471370964,6,0.01572738881952957,0.023205444513803762,0.5033333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",12,0.021142333333333332,0.008107618261034906,6,0.013034715072298426,0.02924995159436824,0.5466666666666666
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",01,0.017661583333333335,0.0012392104105706451,6,0.01642237292276269,0.01890079374390398,0.45666666666666667
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",02,0.01547,0.0031324362563346754,6,0.012337563743665323,0.018602436256334676,0.39999999999999997
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",03,0.023076083333333334,0.01424934525659571,6,0.008826738076737624,0.037325428589929044,0.5966666666666667
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",04,0.01663025,0.003160956749941384,6,0.013469293250058615,0.019791206749941382,0.43
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",05,0.016501333333333333,0.004759801662534549,6,0.011741531670798784,0.021261134995867882,0.42666666666666664
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",06,0.021142333333333332,0.00431129407100312,6,0.016831039262330212,0.025453627404336453,0.5466666666666666
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",07,0.021786916666666666,0.004332060392199843,6,0.017454856274466822,0.02611897705886651,0.5633333333333334
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",08,0.021013416666666666,0.003541807990513697,6,0.01747160867615297,0.024555224657180363,0.5433333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",09,0.019783551666666666,0.004040844744854308,6,0.015742706921812358,0.023824396411520975,0.5115333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",10,0.01998208333333333,0.0024173164132290726,6,0.01756476692010426,0.022399399746562403,0.5166666666666666
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",11,0.019466416666666667,0.0037390278471370964,6,0.01572738881952957,0.023205444513803762,0.5033333333333333
CO0000001,ASPEN PARK METROPOLITAN DISTRICT,0.025,0.038675,1319798,"c(-106.285556, 39.54277)",12,0.021142333333333332,0.008107618261034906,6,0.013034715072298426,0.02924995159436824,0.5466666666666666
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",01,1.4815103333333333,0.0604611195221083,6,1.421049213811225,1.5419714528554416,0.38306666666666667
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",02,1.4856356666666666,0.05913237604110511,6,1.4265032906255615,1.5447680427077717,0.3841333333333333
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",03,1.4717126666666667,0.07145510218218616,6,1.4002575644844806,1.5431677688488528,0.38053333333333333
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",04,1.4546956666666666,0.06715952075965592,6,1.3875361459070108,1.5218551874263224,0.3761333333333333
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",05,1.4735175,0.04263381563383691,6,1.4308836843661632,1.5161513156338369,0.38100000000000006
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",06,1.4461871666666666,0.09293552338781257,6,1.353251643278854,1.5391226900544792,0.37393333333333334
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",07,1.4276231666666668,0.04426060453458203,6,1.3833625621320846,1.471883771201249,0.36913333333333337
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",08,1.4706813333333333,0.04389410885604883,6,1.4267872244772843,1.5145754421893822,0.3802666666666667
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",09,1.4637198333333332,0.05566979325780422,6,1.408050040075529,1.5193896265911375,0.3784666666666667
